"Story","Title","Result","Date","Stability","Duration (s)"
"Gives Appropriate error messages for Request Failures","Service has no data to return for the requested Models.","SUCCESS","2019-12-20T14:00:16.68-05:00[America/New_York]","0.0","7.74"
"Gives Appropriate error messages for Request Failures","User makes a Put Request against the service.","SUCCESS","2019-12-20T14:00:24.428-05:00[America/New_York]","0.0","0.58"
"Gives Appropriate error messages for Request Failures","User makes a GET Request against the service.","SUCCESS","2019-12-20T14:00:25.008-05:00[America/New_York]","0.0","0.31"
"Gives Appropriate error messages for Request Failures","User makes a Patch Request against the service.","SUCCESS","2019-12-20T14:00:25.321-05:00[America/New_York]","0.0","0.17"
"Gives Appropriate error messages for Request Failures","Missing stateCode in the request body.","SUCCESS","2019-12-20T14:00:25.496-05:00[America/New_York]","0.0","0.18"
"Gives Appropriate error messages for Request Failures","Missing Ccode in the request body.","SUCCESS","2019-12-20T14:00:25.682-05:00[America/New_York]","0.0","0.2"
"Gives Appropriate error messages for Request Failures","Missing Llp in the request body.","SUCCESS","2019-12-20T14:00:25.889-05:00[America/New_York]","0.0","0.2"
"Validate response returned from successful Model Compare Request.","User compares the Options received from Configuration-Compare against the Options generated from Catalog-Options and Equipment Category.","SUCCESS","2019-12-20T14:00:26.096-05:00[America/New_York]","0.0","3.2"
"Validate response returned from successful Model Compare Request.","User compares the Options received from Configuration-Compare against the Configure service response.","SUCCESS","2019-12-20T14:00:29.301-05:00[America/New_York]","0.0","1.58"
"Validate response returned from successful Model Compare Request.","User validates that the VCM-Options section is returned and the DisplayGroup values.","SUCCESS","2019-12-20T14:00:30.885-05:00[America/New_York]","0.0","1.51"
"Validate response returned from successful Model Compare Request.","User validates that the right Views data is returned under Equipment-categories","SUCCESS","2019-12-20T14:00:32.395-05:00[America/New_York]","0.0","1.76"
